sample_name	sample_name_noQiitaPrepID	sample_name_noQiitaIDs	alpha_16S_rar5k_richness	alpha_16S_rar5k_shannon	alpha_16S_rar5k_faithspd	sample_name_shotgun	alpha_shotgun_rar35k_20k_richness	alpha_shotgun_rar35k_20k_shannon	alpha_shotgun_rar35k_20k_faithspd	bead_beating	biomass_plate	biomass_sample	biomass_sample_long	biomass_sample_3groups	collection_timestamp	description	dna_conc	dna_ng_ul	dna_extracted	shotgun_lib_ng_ul	rna_ng_ul	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	extraction_protocol	extraction_protocol_short	extraction_kit	extraction_kit_id	extraction_vendor	fresh_frozen	gdna_well_id	gdna_well_row	gdna_well_column	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_taxid	host_weight	host_weight_units	incubation	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qc_16s_concentration	qc_230	qc_260	qc_260_230	qc_260_280	qc_280	qc_blank_230	qc_blank_260	qc_blank_280	qc_blank_320	qc_raw_230	qc_raw_260	qc_raw_280	qc_raw_320	qiita_study_id	round	sample_number	sample_technical_replicate	sample_type	sample_type_2	sample_type_3	host_subject_id	unique_sample_id	scientific_name	sex	storage_solution	swab_type	taxon_id	title	read_count_16s	read_count_shotgun
91743.12201.soil.bare.slurry.N.3.microbiome2.H	12201.soil.bare.slurry.N.3.microbiome2.H	soil.bare.slurry.N.3.microbiome2.H	1477	9.839556888	106.4618672	soil_bare_slurry_N_3_microbiome2_H	NA	NA	NA	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.67	TRUE	2.447	0.708	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	E9	E	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.3	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	6680	13807
91743.12201.soil.bare.slurry.N.2.microbiome2.H	12201.soil.bare.slurry.N.2.microbiome2.H	soil.bare.slurry.N.2.microbiome2.H	1713	9.98469285	126.8798015	soil_bare_slurry_N_2_microbiome2_H	NA	NA	NA	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.529	TRUE	1.557	0.71	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	D9	D	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.2	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	9436	10357
90990.12201.soil.bare.slurry.N.3.microbiome20.H	12201.soil.bare.slurry.N.3.microbiome20.H	soil.bare.slurry.N.3.microbiome20.H	1622	9.749946033	114.0898483	soil_bare_slurry_N_3_microbiome20_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.931	TRUE	1.211	0.812	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	E9	E	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.3	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	9588	6865
90990.12201.soil.bare.slurry.N.2.microbiome20.H	12201.soil.bare.slurry.N.2.microbiome20.H	soil.bare.slurry.N.2.microbiome20.H	1728	9.834495427	121.0311227	soil_bare_slurry_N_2_microbiome20_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.634	TRUE	1.864	0.788	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	D9	D	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.2	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	11167	12087
90990.12201.soil.bare.N.3.microbiome20.H	12201.soil.bare.N.3.microbiome20.H	soil.bare.N.3.microbiome20.H	1642	9.87305398	106.7739693	soil_bare_N_3_microbiome20_H	403	2.012277277	65.48626293	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	2.527	TRUE	1.118	0.354	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	B9	B	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.N.3	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	9053	112191
91743.12201.soil.bare.N.3.qiagen.H	12201.soil.bare.N.3.qiagen.H	soil.bare.N.3.qiagen.H	1535	9.468235214	96.19076467	soil_bare_N_3_qiagen_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	2.756	TRUE	3.072	0.713	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	B9	B	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.N.3	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	11340	13583
91743.12201.soil.bare.slurry.N.3.qiagen.H	12201.soil.bare.slurry.N.3.qiagen.H	soil.bare.slurry.N.3.qiagen.H	1514	9.673070697	95.13167512	soil_bare_slurry_N_3_qiagen_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.5	TRUE	6.42	0.478	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	E9	E	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.3	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	8333	8803
91743.12201.soil.bare.slurry.N.2.qiagen.H	12201.soil.bare.slurry.N.2.qiagen.H	soil.bare.slurry.N.2.qiagen.H	1688	9.899050829	110.9199266	soil_bare_slurry_N_2_qiagen_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.623	TRUE	1.315	0.556	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	D9	D	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.2	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	10366	6570
91743.12201.soil.bare.N.2.qiagen.H	12201.soil.bare.N.2.qiagen.H	soil.bare.N.2.qiagen.H	1524	9.590436083	95.05081559	soil_bare_N_2_qiagen_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	1.173	TRUE	0.861	0.794	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	A9	A	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.N.2	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	8937	7403
91743.12201.soil.bare.N.1.qiagen.H	12201.soil.bare.N.1.qiagen.H	soil.bare.N.1.qiagen.H	1678	9.906922189	103.6339877	soil_bare_N_1_qiagen_H	1118	5.425690953	139.5007996	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.803	TRUE	5.718	0.425	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	H8	H	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.N.1	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	9634	37945
90990.12201.soil.bare.N.2.microbiome20.H	12201.soil.bare.N.2.microbiome20.H	soil.bare.N.2.microbiome20.H	NA	NA	NA	soil_bare_N_2_microbiome20_H	509	2.047385712	78.17611337	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	3.789	TRUE	1.284	0.253	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	A9	A	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.N.2	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	7988	122889
90990.12201.soil.bare.slurry.N.1.microbiome20.H	12201.soil.bare.slurry.N.1.microbiome20.H	soil.bare.slurry.N.1.microbiome20.H	NA	NA	NA	soil_bare_slurry_N_1_microbiome20_H	717	6.471688564	106.2630718	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.71	TRUE	7.39	0.867	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	C9	C	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.1	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	337	66082
91743.12201.soil.bare.slurry.N.1.microbiome2.H	12201.soil.bare.slurry.N.1.microbiome2.H	soil.bare.slurry.N.1.microbiome2.H	NA	NA	NA	soil_bare_slurry_N_1_microbiome2_H	623	6.332974288	96.33979549	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0.42	TRUE	2.056	0.737	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	C9	C	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.slurry.N.1	soil metagenome	not applicable	None	slurry	410658	Knight sample set for testing	179	100178
91743.12201.soil.bare.N.1.microbiome2.H	12201.soil.bare.N.1.microbiome2.H	soil.bare.N.1.microbiome2.H	NA	NA	NA	soil_bare_N_1_microbiome2_H	NA	NA	NA	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	2.486	TRUE	7.304	0.425	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	H8	H	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.N.1	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	4980	17988
